X,Y,room_id,host_id,room_type,country,city,neighborho,address,reviews,overall_sa,accommodat,bedrooms,bathrooms,price,deleted,minstay,timestamp,latitude,longitude,survey_i
-71.093755,42.382153,46534,208115,Private room,United States,Somerville,Somerville,Boston St,394,5.000000000000000,2,1,,77,0,1,06:13.4,42.382153000000002,-71.093755000000002,2
-71.088479,42.381345,251657,814202,Private room,United States,Somerville,Somerville,Glen St,304,5.000000000000000,2,1,0.000000000000000,46,0,1,34:58.6,42.381345000000003,-71.088479000000007,2
-71.09451,42.380951,10638,37347,Private room,United States,Somerville,Somerville,Columbus Ave,302,5.000000000000000,2,1,1.000000000000000,49,0,,54:30.3,42.380951000000003,-71.094510000000000,2
-71.087549,42.383141,285356,814202,Private room,United States,Somerville,Somerville,Glen St,291,5.000000000000000,2,1,1.000000000000000,46,0,1,29:28.2,42.383141000000002,-71.087548999999996,2
-71.088221,42.382154,591318,814202,Private room,United States,Somerville,Somerville,Morton St,276,5.000000000000000,2,1,1.000000000000000,46,0,1,10:34.3,42.382154000000000,-71.088221000000004,2
-71.093342,42.382957,10906,37347,Private room,United States,Somerville,Somerville,Columbus Ave,252,5.000000000000000,1,1,1.000000000000000,35,0,3,16:12.7,42.382956999999998,-71.093342000000007,2
-71.085326,42.383474,591248,814202,Private room,United States,Somerville,Somerville,Morton St,243,5.000000000000000,2,1,1.000000000000000,48,0,1,57:01.5,42.383474000000000,-71.085325999999995,2
-71.086197,42.38152,666913,814202,Private room,United States,Somerville,Somerville,Morton St,233,5.000000000000000,1,1,1.000000000000000,35,0,1,25:46.4,42.381520000000002,-71.086196999999999,2
-71.085752,42.38339,1670635,814202,Entire home/apt,United States,Somerville,Somerville,Morton Street,179,5.000000000000000,5,2,1.000000000000000,170,0,1,07:20.1,42.383389999999999,-71.085751999999999,2
-71.093183,42.388998,7903,14169,Private room,United States,Somerville,Somerville,Marshall St,153,5.000000000000000,2,1,1.000000000000000,80,0,27,28:25.8,42.388998000000001,-71.093182999999996,2
-71.099016,42.38087,281264,1466207,Private room,United States,Somerville,Somerville,Bow St,145,4.500000000000000,3,1,1.000000000000000,120,0,2,18:03.2,42.380870000000002,-71.099016000000006,2
-71.124884,42.403043,377775,1807864,Private room,United States,Somerville,Somerville,Packard Ave,140,5.000000000000000,2,1,1.000000000000000,75,0,2,07:30.6,42.403042999999997,-71.124883999999994,2
-71.099486,42.378447,1438498,7727134,Private room,United States,Somerville,Somerville,Perry Street,117,4.500000000000000,2,1,1.500000000000000,100,0,7,12:36.2,42.378447000000001,-71.099485999999999,2
-71.107122,42.395605,298005,1536279,Entire home/apt,United States,Somerville,Somerville,Roberts St,94,4.500000000000000,2,1,1.000000000000000,95,0,2,36:07.9,42.395605000000003,-71.107122000000004,2
-71.123265,42.405058,1150301,5479387,Entire home/apt,United States,Somerville,Somerville,Gorham Street,90,5.000000000000000,4,2,1.000000000000000,190,0,1,42:33.2,42.405057999999997,-71.123265000000004,2
-71.080775,42.386161,1807294,9471685,Private room,United States,Somerville,Somerville,Perkins Street,75,4.500000000000000,2,1,1.000000000000000,70,0,2,16:29.1,42.386161000000001,-71.080775000000003,2
-71.092116,42.383408,857750,4270340,Entire home/apt,United States,Somerville,Somerville,Hamlet Street,74,4.500000000000000,,2,1.000000000000000,150,0,1,10:10.4,42.383408000000003,-71.092116000000004,2
-71.100494,42.381678,151158,727944,Entire home/apt,United States,Somerville,Somerville,Summit Ave,73,5.000000000000000,3,1,1.000000000000000,158,0,4,16:52.1,42.381678000000001,-71.100493999999998,2
-71.110644,42.388017,34452,48805,Private room,United States,Somerville,Somerville,Craigie St,68,5.000000000000000,3,1,1.500000000000000,90,0,1,30:32.8,42.388016999999998,-71.110643999999994,2
-71.094889,42.375464,1317659,1310712,Entire home/apt,United States,Somerville,Somerville,Tremont Street,67,5.000000000000000,4,2,1.500000000000000,245,0,2,06:00.5,42.375464000000001,-71.094888999999995,2
-71.089904,42.388682,1099841,342545,Entire home/apt,United States,Somerville,Somerville,Wellington Avenue,67,4.000000000000000,2,1,1.000000000000000,95,0,,55:32.5,42.388682000000003,-71.089904000000004,2
-71.099102,42.375419,1209491,9563463,Private room,United States,Somerville,Somerville,Concord Avenue,66,5.000000000000000,2,1,,99,0,1,19:43.2,42.375419000000001,-71.099102000000002,2
-71.123156,42.394097,996575,727944,Entire home/apt,United States,Cambridge,Cambridge,Chester Street,64,4.500000000000000,2,1,1.000000000000000,128,0,4,15:22.1,42.394097000000002,-71.123155999999994,2
-71.084895,42.38579,154505,742815,Shared room,United States,Somerville,Somerville,Pearl St,64,4.500000000000000,1,1,1.000000000000000,32,0,1,00:29.2,42.385790000000000,-71.084895000000003,2
-71.099038,42.376006,1209487,9563463,Private room,United States,Somerville,Somerville,Concord Avenue,62,5.000000000000000,2,1,1.000000000000000,98,0,1,46:04.9,42.376005999999997,-71.099037999999993,2
-71.124313,42.394651,3740785,19125094,Entire home/apt,United States,Somerville,Somerville,Liberty Avenue,61,4.500000000000000,3,1,1.000000000000000,145,0,1,15:20.5,42.394651000000003,-71.124313000000001,2
-71.101789,42.389946,1106468,6074846,Private room,United States,Somerville,Somerville,Willoughby Street,60,5.000000000000000,3,1,1.000000000000000,89,0,5,56:45.6,42.389946000000002,-71.101788999999997,2
-71.111038,42.38236,1066808,5869562,Entire home/apt,United States,Somerville,Somerville,Ivaloo Street,60,5.000000000000000,5,3,1.500000000000000,375,0,1,35:03.4,42.382359999999998,-71.111037999999994,2
